Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;19:14:13;-79.20795952;43.17350727;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
1.0;19:14:14;-79.20795952;43.17350727;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
2.0;19:14:15;-79.20795951;43.17350726;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
3.0000002;19:14:16;-79.2079595;43.17350726;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
4.0;19:14:17;-79.2079595;43.17350726;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
5.0;19:14:18;-79.20795949;43.17350726;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
6.0000005;19:14:19;-79.20795948;43.17350725;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
7.0000005;19:14:20;-79.20795947;43.17350725;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
8.0;19:14:21;-79.20795948;43.17350725;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
9.0;19:14:22;-79.20795948;43.17350725;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
10.0;19:14:23;-79.20795947;43.17350724;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
11.000001;19:14:24;-79.20795947;43.17350724;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
12.000001;19:14:25;-79.20795945;43.17350723;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
13.000001;19:14:26;-79.20795943;43.17350723;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
14.000001;19:14:27;-79.20795941;43.17350723;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
15.000001;19:14:28;-79.2079594;43.17350724;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
16.0;19:14:29;-79.20795939;43.17350723;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
17.0;19:14:30;-79.20795942;43.17350722;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
18.0;19:14:31;-79.20795943;43.17350722;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
