Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;19:14:43;-79.2079594;43.17350727;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
1.0;19:14:44;-79.2079594;43.17350727;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
2.0;19:14:45;-79.20795939;43.17350728;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
3.0000002;19:14:46;-79.2079594;43.17350728;67.4000015258789;9.0;0.0;0.0;0.0;0.0;
4.0;19:14:47;-79.20797112;43.17351303;67.19999694824219;10.0;1.25;4.5;2.796175;2.4298;
5.0;19:14:48;-79.20799524;43.17351348;66.4000015258789;10.0;1.75;6.2999997;3.9146447;3.40172;
6.0000005;19:14:49;-79.20802393;43.17351343;65.19999694824219;10.0;2.0;7.2;4.47388;3.88768;
7.0000005;19:14:50;-79.2080669;43.17351329;66.0;10.0;2.75;9.9;6.1515846;5.34556;
8.0;19:14:51;-79.20811453;43.17351084;66.19999694824219;10.0;3.0;10.799999;6.7108197;5.83152;
9.0;19:14:52;-79.20816082;43.17350858;64.80000305175781;10.0;3.0;10.799999;6.7108197;5.83152;
10.0;19:14:53;-79.20820796;43.1735063;65.5999984741211;10.0;3.25;11.7;7.270055;6.31748;
11.000001;19:14:54;-79.20825418;43.173502739999996;65.30000305175781;10.0;3.25;11.7;7.270055;6.31748;
12.000001;19:14:55;-79.20830229;43.17350035;66.30000305175781;10.0;3.25;11.7;7.270055;6.31748;
13.000001;19:14:56;-79.20834692;43.17349974;66.0;10.0;3.25;11.7;7.270055;6.31748;
14.000001;19:14:57;-79.20839131;43.17349934;65.69999694824219;10.0;3.25;11.7;7.270055;6.31748;
15.000001;19:14:58;-79.20843079;43.17350046;65.0999984741211;10.0;3.0;10.799999;6.7108197;5.83152;
16.0;19:14:59;-79.20845632;43.17350778;63.599998474121094;9.0;2.75;9.9;6.1515846;5.34556;
17.0;19:15:00;-79.20846405;43.17352732;63.900001525878906;10.0;2.5;9.0;5.59235;4.8596;
18.0;19:15:01;-79.20842494;43.17353542;63.5;10.0;1.75;6.2999997;3.9146447;3.40172;
19.0;19:15:02;-79.20838625;43.17354038;63.29999923706055;10.0;2.0;7.2;4.47388;3.88768;
20.0;19:15:03;-79.20834689;43.17354483;63.599998474121094;10.0;2.25;8.099999;5.033115;4.37364;
21.000002;19:15:04;-79.20830214;43.17354798;63.29999923706055;9.0;2.5;9.0;5.59235;4.8596;
22.000002;19:15:05;-79.20824359;43.17354969;62.70000076293945;9.0;3.5;12.599999;7.8292894;6.80344;
23.000002;19:15:06;-79.20818962;43.17354948;62.79999923706055;9.0;3.5;12.599999;7.8292894;6.80344;
24.000002;19:15:07;-79.20814084;43.17354777;62.20000076293945;9.0;3.25;11.7;7.270055;6.31748;
25.000002;19:15:08;-79.20809133;43.17354511;61.70000076293945;9.0;3.5;12.599999;7.8292894;6.80344;
26.000002;19:15:09;-79.20804215;43.17354161;61.5;9.0;3.5;12.599999;7.8292894;6.80344;
27.000002;19:15:10;-79.20799536;43.17353906;61.20000076293945;9.0;3.5;12.599999;7.8292894;6.80344;
28.000002;19:15:11;-79.20794983;43.17353787;61.20000076293945;9.0;3.25;11.7;7.270055;6.31748;
29.000002;19:15:12;-79.2079077;43.17353876;61.599998474121094;10.0;3.25;11.7;7.270055;6.31748;
30.000002;19:15:13;-79.20787069;43.17353855;60.400001525878906;10.0;3.25;11.7;7.270055;6.31748;
